Tweet Id,Date,Hour,User Name,Nickname,Bio,Tweet content,Favs,RTs,Latitude,Longitude,Country,Place (as appears on Bio),Profile picture,Followers,Following,Listed,Tweet language (ISO 639-1),Tweet Url,Is a RT,Original Tweet User Name,User Mentions,Hashtags,Symbols,Media,URLs,Negative,Neutral,Positive,Compound
1112709968245846017 ,2019-04-01,13:35,Vedansh Pujara ?????? ?????,Vpuj,"Sport is the only truth we have nowadays.
Cz a four is a four and not a six.","@Parthap92593918 @deepsealioness @TimesNow @narendramodi Exactly! Terrorism has no religion. And yet we target a particular community when there's a terrorist attack. Look at how Kashmiris throughout the country were attacked after Pulwama. 
For your other question, I am an atheist. I have nothing to do with religion. Cheers!",,,,,,,http://pbs.twimg.com/profile_images/1071118793089343488/DRue6PYD_normal.jpg,26,461,2,en,http://www.twitter.com/Vpuj/status/1112709968245846017,FALSE,,"@Parthap92593918,@deepsealioness,@TimesNow,@narendramodi",,,,,0.307,0.641,0.052,-0.944
1112709801421737984 ,2019-04-01,13:34,SalimRizvi,RizviSalim,"Multimedia Journalist.

RTs not endorsements...well, not always...","RT @TheWireUrdu: ?????? ????: ?? ?? ?? ??? ???? ?? ?? ??? ?? ????? ???? ?????? ?? ????? ?? ???? ??? ????? ???

#PulwamaAttack #CRPFOfficer…",,2,53.958,-1.083,GB,New York City,http://pbs.twimg.com/profile_images/1843499291/SalimRizvi-2002_normal.JPG,2100,5002,152,es,http://www.twitter.com/RizviSalim/status/1112709801421737984,TRUE,@TheWireUrdu,@TheWireUrdu,"#PulwamaAttack,#CRPFOfficer",,,,0.0,1.0,0.0,0.0
1112709152621674506 ,2019-04-01,13:31,Yash Gupta,yashgupta1202,"Interested in Politics

RTs ? Endorsement","Congress, unfortunately, is widely seen as an anti-national party — and that’s largely due to the party’s leaders who have been extremely busy scoring own goals.

Very well articulated piece by @sadhavi Mam. Plz read

https://t.co/oX6vcwdcE1",,,28.654,77.229,IN,"Delhi, India",http://pbs.twimg.com/profile_images/1112328809443966977/FK2ncfZ8_normal.jpg,4591,355,12,en,http://www.twitter.com/yashgupta1202/status/1112709152621674506,FALSE,,@sadhavi,,,,https://www.dailyo.in/lite/politics/narendra-modi-rahul-gandhi-indira-gandhi-balakor-airstrike-pulwama-terror-attack-nationalism-patriotism-hindutva-jihad-terrorism-mahatma-gandhi-pakistan/story/1/30150.html?__twitter_impression=true,0.06,0.779,0.161,0.4576
1112708856919048193 ,2019-04-01,13:30,Rahul Singh,RahulSi96835794,,RT @gauravcsawant: #OwaisAhmedMalik suspected attacker of @crpfindia convoy (failed attack) at Banihal held at Ramban. Targeted bus no: 7 i…,,170,,,,,http://pbs.twimg.com/profile_images/945669674863169537/HM9X3W3m_normal.jpg,129,397,1,en,http://www.twitter.com/RahulSi96835794/status/1112708856919048193,TRUE,@gauravcsawant,"@gauravcsawant,@crpfindia",#OwaisAhmedMalik,,,,0.328,0.672,0.0,-0.7783
1112709114193420293 ,2019-04-01,13:31,Gutsy Voice,GutsyVoice,,"????? ?? ???? ????- ??????? ???? ???-?-??????? ?????? ???????????? ??????? ???? ?? ???? ??? ????? ???

#Pulwama #NarendraModi #CRPF #LokSabhaElections2019 #BJP
https://t.co/WInCrfRqOg",1,,,,,,http://pbs.twimg.com/profile_images/1101154015365263360/JbGGPQOQ_normal.jpg,11472,49,4,es,http://www.twitter.com/GutsyVoice/status/1112709114193420293,FALSE,,,"#Pulwama,#NarendraModi,#CRPF,#LokSabhaElections2019,#BJP",,,https://www.boltahindustan.in/bh-news/former-raw-chief-said-pulwama-attack-was-gift-to-pm-ahead-of-loksabha-elections/,0.0,1.0,0.0,0.0
1112709067435196418 ,2019-04-01,13:31,Vaibhav Singh,vaibhav_banaras,Founder: Defensive Offence | Banarasi |An Obsessive watcher of Geo Political Affairs in South & West Asia.,"Political opponents can hav disagreements over policies of @narendramodi but they very well know that He has created shoes of his legacy so big that they will never b able to fill it. Now every Pulwama/Uri kind of attack will b judged with a yardstick of NaMo
#IndiaSaysNaMoAgain",1,,25.31668,83.01042,IN,"Varanasi, India",http://pbs.twimg.com/profile_images/1103326017987510273/FW7Ukkse_normal.jpg,54,315,,en,http://www.twitter.com/vaibhav_banaras/status/1112709067435196418,FALSE,,@narendramodi,#IndiaSaysNaMoAgain,,,,0.122,0.772,0.105,-0.2263
1112709045473824768 ,2019-04-01,13:31,Bolta Hindustan,BoltaHindustan,"?? ????? ?? ??? ?? ???? ????? ?????????? ?? ?????????? ??. ?? ??????? ?? ???? ???? ???, ???? ?????? ??? ??????? ?? ??? ????? ??? ?????????? ???? ?????? ????","????? ?? ???? ????- ??????? ???? ???-?-??????? ?????? ???????????? ??????? ???? ?? ???? ??? ????? ???

#Pulwama #NarendraModi #CRPF #LokSabhaElections2019 #BJP
https://t.co/WW6w7csNu9",3,1,28.654,77.229,IN,"Delhi, India",http://pbs.twimg.com/profile_images/1091624738168786946/2ySYq0lX_normal.jpg,6879,34,36,es,http://www.twitter.com/BoltaHindustan/status/1112709045473824768,FALSE,,,"#Pulwama,#NarendraModi,#CRPF,#LokSabhaElections2019,#BJP",,,https://www.boltahindustan.in/bh-news/former-raw-chief-said-pulwama-attack-was-gift-to-pm-ahead-of-loksabha-elections/,0.0,1.0,0.0,0.0
1112709024129011712 ,2019-04-01,13:31,DIPANKAR,dipankar1000,"Self employed .Educational.Apolitical.
Views personal.","@free_thinker The way @INCIndia is handling #LoksabhaElections2019,it is quite clear that they are not capable to put up any fight in addition to demoralising the other opposition parties in their strong hold. Drift occurred after Pulwama &amp; Rober Vadra's ED attack. Seems real fight due in 2029",,,28.63576,77.22445,IN,"26N80,80E88, India",http://pbs.twimg.com/profile_images/1032177763237605376/utM_i1ww_normal.jpg,45,39,,en,http://www.twitter.com/dipankar1000/status/1112709024129011712,FALSE,,"@free_thinker,@INCIndia",#LoksabhaElections2019,,,,0.177,0.674,0.15,-0.1508
1112708808940421120 ,2019-04-01,13:30,#NYAYforIndia /Arika kanwar,arikakanwar011,"Vice Chairman @punjabpcc social media cell & state secretary @Haryana pardesh mahila congress

#SocialActivist","RT @sadhavi: Many in the ?@INCIndia? will not like my piece, but the truth is always bitter. Hopefully both ?@RahulGandhi? &amp; ?@priyankagand…",,14,,,,,http://pbs.twimg.com/profile_images/1076008965455007745/E-HWOFT4_normal.jpg,2888,170,29,en,http://www.twitter.com/arikakanwar011/status/1112708808940421120,TRUE,@sadhavi,"@sadhavi,@INCIndia,@RahulGandhi",,,,,0.177,0.605,0.218,0.306
1112708635241529344 ,2019-04-01,13:29,Appaiah,harsha_nanaiah,,RT @AdityaRajKaul: Suicide note found from remains of the Santro car which exploded yesterday next to a CRPF bus in Banihal of J&amp;K indicate…,,614,,,,,http://pbs.twimg.com/profile_images/913425849050730496/bU6eHxHY_normal.jpg,97,37,1,en,http://www.twitter.com/harsha_nanaiah/status/1112708635241529344,TRUE,@AdityaRajKaul,@AdityaRajKaul,,,,,0.17,0.83,0.0,-0.6705
1112708473261703168 ,2019-04-01,13:29,Er Randheer,ERandheer,,"RT @Simran8565: #1DayToDSSFoundationMonth
@derasachasauda volunteers organise a worldwide Blood Donation Campaign, to commemorate the marty…",,65,,,,,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,14,1,,en,http://www.twitter.com/ERandheer/status/1112708473261703168,TRUE,@Simran8565,"@Simran8565,@derasachasauda",#1DayToDSSFoundationMonth,,,,0.0,1.0,0.0,0.0
1112708439292039169 ,2019-04-01,13:28,Er Randheer,ERandheer,,"RT @inayat__Insan: DSS volunteers organise a worldwide Blood Donation Campaign, to commemorate the martyrs in Pulwama attack.
#1DayToDSSFou…",,45,,,,,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,14,1,,en,http://www.twitter.com/ERandheer/status/1112708439292039169,TRUE,@inayat__Insan,@inayat__Insan,,,,,0.162,0.838,0.0,-0.4767
1112708246186397696 ,2019-04-01,13:28,Narender Ambedkar,NarenderAmbedk4,I am Ambedkarite,RT @thewirehindi: ??????? ????: ???????? ??????? ?? ???? ????? ???????? ???????? ?? ?????? ?? ???? ??? ????? ?? https://t.co/MmNTTweyhD #Pu…,,66,31.10442,77.16661999999999,IN,Shimla,http://pbs.twimg.com/profile_images/975264866142441473/EGQKRt0u_normal.jpg,226,201,,es,http://www.twitter.com/NarenderAmbedk4/status/1112708246186397696,TRUE,@thewirehindi,@thewirehindi,,,,http://thewirehindi.com/76459/pulwama-attack-crpf-officer-letter-anti-terror-training/,0.0,1.0,0.0,0.0
1112708143899762689 ,2019-04-01,13:27,Er Randheer,ERandheer,,"RT @Komalme45785641: #1DayToDSSFoundationMonth
@derasachasauda volunteers organise a worldwide Blood Donation Campaign, to commemorate the…",,35,,,,,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,14,1,,en,http://www.twitter.com/ERandheer/status/1112708143899762689,TRUE,@Komalme45785641,"@Komalme45785641,@derasachasauda",#1DayToDSSFoundationMonth,,,,0.0,1.0,0.0,0.0
1112707839129079808 ,2019-04-01,13:26,Er Randheer,ERandheer,,"RT @Mahiyaa_13_7: #1DayToDSSFoundationMonth
@derasachasauda volunteers organise a worldwide Blood Donation Campaign, to commemorate the mar…",,90,,,,,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,14,1,,en,http://www.twitter.com/ERandheer/status/1112707839129079808,TRUE,@Mahiyaa_13_7,"@Mahiyaa_13_7,@derasachasauda",#1DayToDSSFoundationMonth,,,,0.0,1.0,0.0,0.0
1112707665548005376 ,2019-04-01,13:25,chowkidar kuwar karan singh chouhan,karansi70065635,"vpo- Dadrewa, Teh.- Rajgarh Rajasthan
Haal:- Chandigarh, Omaxe Apartment, siswan road, Chandigarh","#IndiaKaDNA

Sir,
Simple si baat h jab 300 kg barood pulwama me itni tabahi macha sakta h to air force ne to 1000 kg k kai bombs daage thy usme kya bachta, dusri baat ki napakistan ne 1.5 maheene attack ground ko q cover kia jisme midia tk ko nahi jaane dia, my think 500+.",,,30.73629,76.7884,IN,Chandigarh ,http://pbs.twimg.com/profile_images/1112238414693310464/uHHiHCyy_normal.jpg,111,292,,es,http://www.twitter.com/karansi70065635/status/1112707665548005376,FALSE,,,#IndiaKaDNA,,,,0.13,0.87,0.0,-0.8074
1112706850741342210 ,2019-04-01,13:22,Mahtab ????? ?????,MahtabNama,"Multilingual #Journalist - #Writer , Executive Editor of @TheWireUrdu ( ?? ???? ???? ) | Host : #ElectionNama podcast series @SunoIndia_in","RT @TheWireUrdu: ?????? ????: ?? ?? ?? ??? ???? ?? ?? ??? ?? ????? ???? ?????? ?? ????? ?? ???? ??? ????? ???

#PulwamaAttack #CRPFOfficer…",,2,,,,,http://pbs.twimg.com/profile_images/1081196875779198977/NtiIUB8F_normal.jpg,5970,2310,105,es,http://www.twitter.com/MahtabNama/status/1112706850741342210,TRUE,@TheWireUrdu,@TheWireUrdu,"#PulwamaAttack,#CRPFOfficer",,,,0.0,1.0,0.0,0.0
1112706561984602112 ,2019-04-01,13:21,Charmaine Campbell,bayfentejeeps,??,RT @FarooqMustafa3: Despite fact that terrorist who attacked Noor Masjid in Newzealand is Australian citizen but Newzealand has no claim or…,,1,,,,,http://pbs.twimg.com/profile_images/1110709228812095488/ozPskGyX_normal.jpg,3,16,,en,http://www.twitter.com/bayfentejeeps/status/1112706561984602112,TRUE,@FarooqMustafa3,@FarooqMustafa3,,,,,0.191,0.715,0.094,-0.3466
1112706263266164737 ,2019-04-01,13:20,F H Jakkappanavar,FHJakkappanavar,"Is an educationist, labour leader and Ex Vice Chairman, Dr Ambedkar Foundation,Ministry of Social Justice and empowerment, Govt of India","RT @CNNnews18: #News18AgendaIndia | Pointing at an intelligence failure, @INCIndia leader @KapilSibal questioned how RDX was brought inside…",,36,15.34776,75.13378,IN,Hubli-Bangalore ,http://pbs.twimg.com/profile_images/378800000109996930/9ec26cd7d1410bab25a41ab5da2a7bff_normal.jpeg,646,264,9,en,http://www.twitter.com/FHJakkappanavar/status/1112706263266164737,TRUE,@CNNnews18,"@CNNnews18,@INCIndia,@KapilSibal",#News18AgendaIndia,,,,0.216,0.642,0.142,-0.1531
1112705794976432128 ,2019-04-01,13:18,Jayanth kumar Pudota,JayanthPudota,,False flag Alert !! https://t.co/BTBOcVTfDw,,,,,,,http://pbs.twimg.com/profile_images/664086709005516800/D1ZwkuzM_normal.jpg,59,121,1,es,http://www.twitter.com/JayanthPudota/status/1112705794976432128,FALSE,,,,,,https://scroll.in/latest/918466/pulwama-terror-attack-was-a-gift-to-bjp-before-lok-sabha-polls-says-former-raw-chief,0.0,0.59,0.41,0.4184
1112705702357655554 ,2019-04-01,13:18,dead4ever,_dead4ever_,???????,"@MuneebRafaqat @NOOR1077159 @4200302 @The_Indic @surinde10489177 @ashoswai Fake news ? After pulwama attack, I myself saw many pakis made fake accounts and behave like they are indians citizens..... And spread fake news ...that's why Facebook removed them ..
And they are from Pak army and indian Congress",,,,,,,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,20,68,,en,http://www.twitter.com/_dead4ever_/status/1112705702357655554,FALSE,,"@MuneebRafaqat,@NOOR1077159,@4200302,@The_Indic,@surinde10489177,@ashoswai",,,,,0.23,0.724,0.046,-0.872
1112705530248785920 ,2019-04-01,13:17,Abir,dillikagoodboy,,"@itsmeSehrish Oh haan I wanna ask you what’s wrong in wearing camouflage caps?
Our cricketers wore it to give a tribute to those who lost their lives in Pulwama attack and even whole team donated their whole match fees To CRPF fund?Anything wrong in this????????",,,28.654,77.229,IN,"New Delhi, India",http://pbs.twimg.com/profile_images/1039930953580335104/P1ncUvVw_normal.jpg,56,230,,en,http://www.twitter.com/dillikagoodboy/status/1112705530248785920,FALSE,,@itsmeSehrish,,,,,0.237,0.763,0.0,-0.903
1112705280339374081 ,2019-04-01,13:16,?? ???? ????,TheWireUrdu,?????? ??????????? ???? ?? ???? ?????? ????? | #UrduNews | #Analysis #Reporting,"?????? ????: ?? ?? ?? ??? ???? ?? ?? ??? ?? ????? ???? ?????? ?? ????? ?? ???? ??? ????? ???

#PulwamaAttack #CRPFOfficer #AntiTerrorTraining
https://t.co/EcdC8nE0NZ",2,2,28.654,77.229,IN,"New Delhi, India",http://pbs.twimg.com/profile_images/894832875626872833/dmq9nmt8_normal.jpg,6105,68,18,es,http://www.twitter.com/TheWireUrdu/status/1112705280339374081,FALSE,,,"#PulwamaAttack,#CRPFOfficer,#AntiTerrorTraining",,,http://thewireurdu.com/57440/pulwama-attack-crpf-officer-letter-anti-terror-training/,0.0,1.0,0.0,0.0
1112703459927552006 ,2019-04-01,13:09,Naveen Kataria,invertedcuff,"#Pulwama
#NeverForget",RT @gauravcsawant: #OwaisAhmedMalik suspected attacker of @crpfindia convoy (failed attack) at Banihal held at Ramban. Targeted bus no: 7 i…,,170,30.73629,76.7884,IN,Chandigarh,http://pbs.twimg.com/profile_images/1096098909359722497/4NRXfzZH_normal.jpg,292,346,22,en,http://www.twitter.com/invertedcuff/status/1112703459927552006,TRUE,@gauravcsawant,"@gauravcsawant,@crpfindia",#OwaisAhmedMalik,,,,0.328,0.672,0.0,-0.7783
1112704542880092160 ,2019-04-01,13:13,Sunit solanki ? #mainbhichowkidar,Sunitsolanki2,"#softengg  #ShriModijiBhakt #observerNanalyst 
#musicmanic #hypernationalist
#coffeelover
#makeinIndia","RT @Snowflake_3925: Banihal Blast..

A suspect named OBES AMEEN is arrested.

He claims his association with Hijbul Mujahideen and were pla…",,6,26.83928,80.92313,IN,"Lucknow,Almora bornNbroughtup",http://pbs.twimg.com/profile_images/1084320601546735617/Jrk1MQqa_normal.jpg,133,176,,en,http://www.twitter.com/Sunitsolanki2/status/1112704542880092160,TRUE,@Snowflake_3925,@Snowflake_3925,,,,,0.227,0.773,0.0,-0.6486
1112702969726660610 ,2019-04-01,13:07,Unemployed Thanos Ji #RYP ?? ??,__MunnaJi,Namonia Bhakts and Congressi stay away.If u abuse will get the same. RTs r not Endorsements. Jai Maharashtra.,"@anuraggemini @VDPAssociates All those involved in the above were arrested , who was responsible fr pathankot attack ,uri attack, pulwama attack ? ??",,,28.63576,77.22445,IN,India,http://pbs.twimg.com/profile_images/1096649034448564225/Z5a0qh9-_normal.png,3102,639,51,en,http://www.twitter.com/__MunnaJi/status/1112702969726660610,FALSE,,"@anuraggemini,@VDPAssociates",,,,,0.391,0.536,0.073,-0.8779
1112702177984708608 ,2019-04-01,13:04,Rishi Choudhary,RishiChoudhary,,RT @gauravcsawant: #OwaisAhmedMalik suspected attacker of @crpfindia convoy (failed attack) at Banihal held at Ramban. Targeted bus no: 7 i…,,170,,,,,http://pbs.twimg.com/profile_images/55596929/orkut_normal.png,147,160,7,en,http://www.twitter.com/RishiChoudhary/status/1112702177984708608,TRUE,@gauravcsawant,"@gauravcsawant,@crpfindia",#OwaisAhmedMalik,,,,0.328,0.672,0.0,-0.7783
1112701519491674114 ,2019-04-01,13:01,Vips ????,vips_suvichitra,Bharatiya,RT @gauravcsawant: #OwaisAhmedMalik suspected attacker of @crpfindia convoy (failed attack) at Banihal held at Ramban. Targeted bus no: 7 i…,,170,,,,,http://pbs.twimg.com/profile_images/516287872769355776/gV8K7hvn_normal.jpeg,82,120,39,en,http://www.twitter.com/vips_suvichitra/status/1112701519491674114,TRUE,@gauravcsawant,"@gauravcsawant,@crpfindia",#OwaisAhmedMalik,,,,0.328,0.672,0.0,-0.7783
1112701478513319936 ,2019-04-01,13:01,Dr Narain Rupani,DrRupani,???? ?? ????? ? ???? ?? ??????????? ? ??????????????? ??? ?  Re tweets don't imply endorsement ????,RT @AdityaRajKaul: Suicide note found from remains of the Santro car which exploded yesterday next to a CRPF bus in Banihal of J&amp;K indicate…,,614,28.63576,77.22445,IN,india ,http://pbs.twimg.com/profile_images/693656417194999808/LZx-7Njb_normal.jpg,2229,1695,46,en,http://www.twitter.com/DrRupani/status/1112701478513319936,TRUE,@AdityaRajKaul,@AdityaRajKaul,,,,,0.17,0.83,0.0,-0.6705
1112701215714926594 ,2019-04-01,13:00,Mithil Gaikwad,swarajgaikwad11,,"RT @sawsammer3: #??????? ???? ???????? #???????? ????????? ?????? #????????? ????. #?????????????? ??? ????? ????? ????.??,??????? ?????? ?…",,25,,,,,http://pbs.twimg.com/profile_images/1024365340489203712/DCHGLMdx_normal.jpg,36,268,,es,http://www.twitter.com/swarajgaikwad11/status/1112701215714926594,TRUE,@sawsammer3,@sawsammer3,"#???????,#????????,#?????????,#??????????????",,,,0.0,1.0,0.0,0.0
1112700855629709313 ,2019-04-01,12:58,S.P. SINGH,SPSINGH77735062,"Political & Social Science Analyzer, Manifesto Specialist, RTI Activist, Director Global Vision, 
President, Jeev Ashray.
Religion is 1st always !","RT @SPSINGH77735062: Changi gal hai.

Kya aapka chnl ye aawaz utha sakta hai
Kyon inquiry nahi ho rahi

Pulwama attack ki ? https://t.co/QV…",,1,,,,,http://pbs.twimg.com/profile_images/797124025537282048/FizhiMIv_normal.jpg,573,1575,17,es,http://www.twitter.com/SPSINGH77735062/status/1112700855629709313,TRUE,@SPSINGH77735062,@SPSINGH77735062,,,,,0.129,0.871,0.0,-0.4767
1112700522023272454 ,2019-04-01,12:57,Payal Sanghavi,Hello58196176,Welcome.,"@being_sagacious @narendramodi @AmitShah Also, your children's Hindu Muslim hatred thing are because all the things going on recently. Everyone in this country is having same thoughts After Pulwama attack.",,,,,,,http://pbs.twimg.com/profile_images/1110516765761699842/P7UeK7na_normal.jpg,,,,en,http://www.twitter.com/Hello58196176/status/1112700522023272454,FALSE,,"@being_sagacious,@narendramodi,@AmitShah",,,,,0.213,0.787,0.0,-0.8074
1112699972183420930 ,2019-04-01,12:55,S.P. SINGH,SPSINGH77735062,"Political & Social Science Analyzer, Manifesto Specialist, RTI Activist, Director Global Vision, 
President, Jeev Ashray.
Religion is 1st always !","Changi gal hai.

Kya aapka chnl ye aawaz utha sakta hai
Kyon inquiry nahi ho rahi

Pulwama attack ki ? https://t.co/QVNqYBt2dR",,1,,,,,http://pbs.twimg.com/profile_images/797124025537282048/FizhiMIv_normal.jpg,573,1575,17,es,http://www.twitter.com/SPSINGH77735062/status/1112699972183420930,FALSE,,,,,,https://twitter.com/TV9Bharatvarsh/status/1112668344983838720,0.14,0.86,0.0,-0.4767
1112699325241389058 ,2019-04-01,12:52,Lalit Seth,sethlalit,"Director, PROFIT REALTY - REAL ESTATE INVESTMENT CONSULTANCY & ADVISORY SERVICES - Gurgaon, INDIA 
Retweets & Likes are NOT ENDORSEMENTS.",RT @the_hindu: Mr. Shah said #Odisha had become land of #corruption and commission where a handful of officials have become obstacle for de…,,3,,,,,http://pbs.twimg.com/profile_images/704951956159262720/KxZJN4GZ_normal.jpg,271,277,5,en,http://www.twitter.com/sethlalit/status/1112699325241389058,TRUE,@the_hindu,@the_hindu,"#Odisha,#corruption",,,,0.106,0.894,0.0,-0.3612
1112699216223068160 ,2019-04-01,12:52,SK #NYAYforINDIA????,reachsk7,IITian| Engineer| Peace| Food| Cricket| Travel| ???????| Dreamer|,RT @sadhavi: #Pulwama Congress should have evoked the valour that #IndiraGandhi had. The party owed it to her. It shld have reignited a fir…,,8,,,,,http://pbs.twimg.com/profile_images/1102549251698044929/Co4eOY3T_normal.jpg,467,1037,1,en,http://www.twitter.com/reachsk7/status/1112699216223068160,TRUE,@sadhavi,@sadhavi,"#Pulwama,#IndiraGandhi",,,,0.0,0.891,0.109,0.4019
1112698283976093697 ,2019-04-01,12:48,Chowkidar Haresh Vithlani,HareshVithlani,RTs = retweets = interesting and not endorsement. Views are personal,RT @gauravcsawant: #OwaisAhmedMalik suspected attacker of @crpfindia convoy (failed attack) at Banihal held at Ramban. Targeted bus no: 7 i…,,170,28.63576,77.22445,IN,India,http://pbs.twimg.com/profile_images/682013163777200130/kvenQjMD_normal.jpg,19334,17589,37,en,http://www.twitter.com/HareshVithlani/status/1112698283976093697,TRUE,@gauravcsawant,"@gauravcsawant,@crpfindia",#OwaisAhmedMalik,,,,0.328,0.672,0.0,-0.7783
1112698033739726849 ,2019-04-01,12:47,Chowkidar Sachin Prakash Dwivedi,SachinPrakashD4,Engineer in making(CIVIL),RT @the_hindu: Mr. Shah said #Odisha had become land of #corruption and commission where a handful of officials have become obstacle for de…,,3,,,,,http://pbs.twimg.com/profile_images/1074318800084860928/qvl-GOre_normal.jpg,102,131,,en,http://www.twitter.com/SachinPrakashD4/status/1112698033739726849,TRUE,@the_hindu,@the_hindu,"#Odisha,#corruption",,,,0.106,0.894,0.0,-0.3612
1112697820862017537 ,2019-04-01,12:46,Sunil Kumar,SunilKu23228423,cpiml bettiah,RT @thewirehindi: ??????? ????: ???????? ??????? ?? ???? ????? ???????? ???????? ?? ?????? ?? ???? ??? ????? ?? https://t.co/MmNTTweyhD #Pu…,,66,,,,,http://pbs.twimg.com/profile_images/1106211884779229184/tCQMFeI__normal.jpg,3,124,,es,http://www.twitter.com/SunilKu23228423/status/1112697820862017537,TRUE,@thewirehindi,@thewirehindi,,,,http://thewirehindi.com/76459/pulwama-attack-crpf-officer-letter-anti-terror-training/,0.0,1.0,0.0,0.0
